name,url,real_name,occupation,gender,height,weight,number_of_appearances,first_apperance_year,universe,place_of_birth,movie_appearances
Agent Baylin,/wiki/Agent_Baylin_(Earth-199999),Baylin (first name unknown),S.H.I.E.L.D. agent (former),Male,,,1,2014.0,Earth-199999,,
Agent Chaimson,/wiki/Agent_Chaimson_(Earth-199999),Chaimson (first name unknown),S.H.I.E.L.D. agent,Male,,,1,2014.0,Earth-199999,,
Agent Hart,/wiki/Agent_Hart_(Earth-199999),Hart (first name unknown),formerly Agent of  S.H.I.E.L.D.,Male,,,1,2015.0,Earth-199999,,
Agent Hauer,/wiki/Agent_Hauer_(Earth-199999),Hauer (full name unknown),,Male,,,1,2014.0,Earth-199999,,
Agent Jacobson,/wiki/Agent_Jacobson_(Earth-199999),Jacobson (first name unknown),S.H.I.E.L.D. agent,Male,,,1,2014.0,Earth-199999,,
Agent Jones,/wiki/Agent_Jones_(Earth-199999),Jones (first name unknown),S.H.I.E.L.D. agent (former),Male,,,1,2014.0,Earth-199999,,
Agent Kaminsky,/wiki/Agent_Kaminsky_(Earth-199999),Kaminsky,Hydra agent,Male,,,3,2014.0,Earth-199999,,
Agent Mack,/wiki/Agent_Mack_(Earth-199999),Mack (first name unrevealed),Agent of  S.H.I.E.L.D.,Male,,,1,2013.0,Earth-199999,,
Agent O'Brien,/wiki/Agent_O'Brien_(Earth-199999),O'Brien (first name unknown),former government agent of  S.H.I.E.L.D.,Male,,,1,2015.0,Earth-199999,,
Agent Oliver,/wiki/Agent_Oliver_(Earth-199999),Oliver (full name unknown),S.H.I.E.L.D. agent,Male,,,5,2015.0,Earth-199999,,
Agent Piper,/wiki/Agent_Piper_(Earth-199999),Piper (full name unknown),S.H.I.E.L.D. agent,Female,,,4,2016.0,Earth-199999,,
Agent Rivera,/wiki/Agent_Rivera_(Earth-199999),Rivera (full name unknown),,Male,,,1,2014.0,Earth-199999,,
Agent Shade,/wiki/Agent_Shade_(Earth-199999),Shade (first name unknown),S.H.I.E.L.D. agent (former),Female,,,2,2014.0,Earth-199999,,
Agent Shaw,/wiki/Agent_Shaw_(Earth-199999),Shaw (first name unknown),Agent of  S.H.I.E.L.D.,Male,,,2,2013.0,Earth-199999,,
Agent Tyler,/wiki/Agent_Tyler_(Earth-199999),Tyler (first name unrevealed),Agent of  S.H.I.E.L.D.,Male,,,1,2013.0,Earth-199999,,
Agent Yauch,/wiki/Agent_Yauch_(Earth-199999),Yauch,SSR agent,Male,,,4,2015.0,Earth-199999,,
Agnes Cully,/wiki/Agnes_Cully_(Earth-199999),Agnes Cully [1],Actress,Female,,,10,2016.0,Earth-199999,Broxton,
Agnes Kitsworth,/wiki/Agnes_Kitsworth_(Earth-199999),Agnes Kitsworth,,Female,,,2,2017.0,Earth-199999,Australia,
Aida,/wiki/Aida_(Earth-199999),Aida,,Female,,,15,2016.0,Earth-199999,,
Air-Walker,/wiki/Air-Walker_(Earth-8096),Air-Walker,Herald,Male,,,1,2012.0,Earth-8096,,
Akela Amador,/wiki/Akela_Amador_(Earth-199999),Akela Amador,"formerly S.H.I.E.L.D. agent, and a double agent under duress",Female,,,2,2013.0,Earth-199999,,
Albert Rackham,/wiki/Albert_Rackham_(Earth-199999),Albert Rackham,,Male,,,1,2016.0,Earth-199999,,
Albert Thompson,/wiki/Albert_Thompson_(Earth-199999),Albert Thompson,Scientist,Male,,,5,2015.0,Earth-199999,,
Aldrich Killian,/wiki/Aldrich_Killian_(Earth-199999),Aldrich Killian,"Businessman, conspirator, terrorist",Male,,,3,2013.0,Earth-199999,,1.0
Aleksander Lukin,/wiki/Aleksander_Lukin_(Earth-8096),Aleksander Lukin,Russian industrialist,Male,1.8034,90.7184,1,2010.0,Earth-8096,,
Aleksei Sytsevich,/wiki/Aleksei_Sytsevich_(Earth-120703),Aleksei Sytsevich,Gangster,Male,,,1,2014.0,Earth-120703,,1.0
Alexander O'Hirn,/wiki/Alexander_O'Hirn_(Earth-96283),Alexander O'Hirn,Casino security; (former) professional criminal; hired muscle,Male,,,1,2004.0,Earth-96283,Russia,
Alexander Pierce,/wiki/Alexander_Pierce_(Earth-199999),Alexander Pierce,Bureaucrat,Male,,,3,2014.0,Earth-199999,,
Alexander Power,/wiki/Alexander_Power_(Earth-635972),Alexander Power,,Male,,,1,1991.0,Earth-635972,,1.0
Alexander Summers,/wiki/Alexander_Summers_(Earth-10005),Alexander Summers,"Aventurer, formerly soldier, convict",Male,,,1,2011.0,Earth-10005,,1.0
Alexander Summers,/wiki/Alexander_Summers_(Earth-TRN414),Alexander Summers,Formerly soldier,Male,,,2,2014.0,Earth-TRN414,,1.0
Alexei Romanoff,/wiki/Alexei_Romanoff_(Earth-199999),Alexei Romanoff  [1],"Government Agent, Spy",Male,,,2,2015.0,Earth-199999,Stalingrad,
Alflyse,/wiki/Alflyse_(Earth-199999),Alflyse,Queen of the Dark Elves,Female,,,1,2011.0,Earth-199999,,
Algrim,/wiki/Algrim_(Earth-199999),Algrim,Warrior,Male,,,3,2011.0,Earth-199999,Svartalfheim,
Algrim,/wiki/Algrim_(Earth-8096),Algrim,,Male,,,1,2011.0,Earth-8096,Svartalfheim,
Alicia Lee,/wiki/Alicia_Lee_(Earth-700029),Alicia Lee,,Female,,,1,1996.0,Earth-700029,,1.0
Alicia Masters,/wiki/Alicia_Masters_(Earth-121698),Alicia Masters,,Female,,,3,2005.0,Earth-121698,,1.0
Alisha Whitley,/wiki/Alisha_Whitley_(Earth-199999),Alisha Whitley [1],,Female,,,6,2015.0,Earth-199999,,
Alison Blaire,/wiki/Alison_Blaire_(Earth-10005),Alison Blaire,,Female,,,1,,Earth-10005,,1.0
Alison Blaire,/wiki/Alison_Blaire_(Earth-8096),Alison Blaire,Singer,Female,,,2,2009.0,Earth-8096,,
Alistair Krei,/wiki/Alistair_Krei_(Earth-14123),Alistair Krei,CEO of Krei Tech,Male,,,1,2014.0,Earth-14123,,1.0
Alistair Smythe,/wiki/Alistair_Smythe_(Earth-120703),Alistair Smythe,Electrical Engineer; engineering department head,Male,,,2,2014.0,Earth-120703,,1.0
Aloysius Samberly,/wiki/Aloysius_Samberly_(Earth-199999),Aloysius Herbert Samberly [1],SSR scientist,Male,,,6,2016.0,Earth-199999,,
Alphonso Mackenzie,/wiki/Alphonso_Mackenzie_(Earth-199999),Alphonso Mackenzie,"Engineer, Mechanic, Field Agent",Male,,,60,2014.0,Earth-199999,,
Amadeus Cho,/wiki/Amadeus_Cho_(Earth-199999),Amadeus Cho,,Male,,,1,2008.0,Earth-199999,,
Amahl Farouk,/wiki/Amahl_Farouk_(Earth-8096),Amahl Farouk,"Former businessman, crimelord",Male,,,1,2009.0,Earth-8096,,
Amanda Carter,/wiki/Amanda_Carter_(Earth-199999),Amanda Carter [1],Housewife,Female,,,1,2016.0,Earth-199999,,
Amanda Sefton,/wiki/Amanda_Sefton_(Earth-10005),Amanda Sefton,,Female,,,1,2003.0,Earth-10005,,
Amara Aquilla,/wiki/Amara_Aquilla_(Earth-10005),Amara Aquilla,,,,,1,,Earth-10005,,1.0
Amara Aquilla,/wiki/Amara_Aquilla_(Earth-8096),Amara Aquilla,,Female,,,1,2009.0,Earth-8096,,
Amira Ahmed,/wiki/Amira_Ahmed_(Earth-199999),Amira Ahmed,,Female,,,1,2008.0,Earth-199999,,1.0
Amora,/wiki/Amora_(Earth-8096),Amora,Sorceress,Female,1.8796,81.64656,18,2009.0,Earth-8096,Asgard,1.0
Ana Jarvis,/wiki/Ana_Jarvis_(Earth-199999),Ana Jarvis,,Female,,,9,2015.0,Earth-199999,,
Anatoly Rankskahov,/wiki/Anatoly_Rankskahov_(Earth-199999),Anatoly Rankskahov,Crimelord,Male,,,2,2015.0,Earth-199999,,
Ancient One,/wiki/Ancient_One_(Earth-199999),,Master of the Mystic Arts,Female,,,5,2016.0,Earth-199999,,1.0
Andre,/wiki/Andre_(Earth-199999),Andre (surname unknown),,Male,,,1,2015.0,Earth-199999,,
Andrea von Strucker,/wiki/Andrea_von_Strucker_(Earth-10005),Andrea von Strucker,,Female,,,1,,Earth-10005,,1.0
Andreas von Strucker,/wiki/Andreas_von_Strucker_(Earth-10005),Andreas von Strucker,,Male,,,1,,Earth-10005,,1.0
Andrew Garner,/wiki/Andrew_Garner_(Earth-199999),Andrew Garner,"Professor of psychology at Culver University, psychologist",Male,,,13,2015.0,Earth-199999,,
Andrew Henry,/wiki/Andrew_Henry_(Earth-199999),Andrew Henry,LAPD detective,Male,,,1,2016.0,Earth-199999,,
Angel,/wiki/Angel_(Earth-TRN414),,Cage fighter,Male,,,1,2016.0,Earth-TRN414,,
Angel Salvadore,/wiki/Angel_Salvadore_(Earth-10005),Angel Salvadore,Exotic dancer,Female,,,1,2011.0,Earth-10005,,2.0
Angela Donatelli,/wiki/Angela_Donatelli_(Earth-TRN011),Angela Donatelli,,Female,,,1,2008.0,Earth-TRN011,,1.0
Angela del Toro,/wiki/Angela_del_Toro_(Earth-199999),Angela del Toro,Private Investigator,Female,,,1,2015.0,Earth-199999,,
Angelo Espinosa,/wiki/Angelo_Espinosa_(Earth-10005),Angelo Espinosa,,Male,,,1,,Earth-10005,,1.0
Angelo Espinosa,/wiki/Angelo_Espinosa_(Earth-700029),Angelo Espinosa,Student,Male,,,1,1996.0,Earth-700029,,1.0
Angie Martinelli,/wiki/Angie_Martinelli_(Earth-199999),Angie Martinelli,Waitress,Female,,,8,2015.0,Earth-199999,,
Angmo-Asan,/wiki/Angmo-Asan_(Earth-10022),Angmo-Asan,Emperor of the First Sakaarian Empire,Male,,,1,2010.0,Earth-10022,Geot City,1.0
Ann Darnell,/wiki/Ann_Darnell_(Earth-8096),Ann Darnell,,Female,,,2,2010.0,Earth-8096,,
Ann Darnell,/wiki/Ann_Darnell_(Earth-199999),Ann Darnell,Criminal,Female,,,1,2008.0,Earth-199999,,
Anne Weaver,/wiki/Anne_Weaver_(Earth-199999),Anne Weaver,S.H.I.E.L.D. commander; formerly headmaster of  S.H.I.E.L.D. Academy 's Science Division,Female,,,11,2014.0,Earth-199999,,
Anne Weying,/wiki/Anne_Weying_(Earth-120703),Anne Weying,Lawyer,Female,,,1,,Earth-120703,,
Annihilus,/wiki/Annihilus_(Earth-121698),Annihilus,Megalomaniacal conqueror,Male,,,1,2005.0,Earth-121698,,
Annihilus,/wiki/Annihilus_(Earth-8096),Annihilus,Ruler of the Negative Zone,Male,,,1,2012.0,Earth-8096,,
Anthony Stark,/wiki/Anthony_Stark_(Earth-10022),Anthony Stark,Adventurer,Male,,,1,2010.0,Earth-10022,,1.0
Anthony Stark,/wiki/Anthony_Stark_(Earth-199673),Anthony Stark,Adventurer,Male,1.8542,,1,2007.0,Earth-199673,,1.0
Anthony Stark,/wiki/Anthony_Stark_(Earth-199999),Anthony Edward Stark,"Inventor, adventurer, industrialist, founder of the  Maria Stark Foundation ; [8]  Chairman, CEO, and electrical engineer of  St",Male,1.7526,83.91452,58,2008.0,Earth-199999,Manhattan,6.0
Anthony Stark,/wiki/Anthony_Stark_(Earth-58732),Anthony Stark,,Male,,,1,2004.0,Earth-58732,,
Anthony Stark,/wiki/Anthony_Stark_(Earth-8096),Anthony Edward Stark,"Businessman, Inventor, Superhero",Male,,,61,2010.0,Earth-8096,,
Antoine Triplett,/wiki/Antoine_Triplett_(Earth-199999),Antoine Triplett,S.H.I.E.L.D. Agent (Level 6),Male,,,22,2014.0,Earth-199999,,
Anton Ivanov,/wiki/Anton_Ivanov_(Earth-199999),Anton Ivanov,Industrialist,Male,,,4,2017.0,Earth-199999,,
Anton Vanko,/wiki/Anton_Vanko_(Earth-199999),Anton Vanko,Physicist,Male,,,4,2010.0,Earth-199999,Russia,1.0
Arclight,/wiki/Arclight_(Earth-8096),,,Male,,,2,2009.0,Earth-8096,,
Arcturus Rann,/wiki/Arcturus_Rann_(Earth-8096),Arcturus Rann,,Male,,,1,2012.0,Earth-8096,,
Arkady Rossovich,/wiki/Arkady_Rossovich_(Earth-8096),Arkady Rossovich,Mercenary,Male,,,1,2009.0,Earth-8096,,1.0
Arlee Hicks,/wiki/Arlee_Hicks_(Earth-700029),Arlee Hicks,Student,Female,,,1,1996.0,Earth-700029,,1.0
Arleen Adams,/wiki/Arleen_Adams_(Earth-10005),Arleen Adams,,Female,,,1,,Earth-10005,,
Armand Tully,/wiki/Armand_Tully_(Earth-199999),Armand Tully,Landlord,Male,,,1,2015.0,Earth-199999,,
Armando Muñoz,/wiki/Armando_Muñoz_(Earth-10005),Armando Muñoz,Taxi driver,Male,,,1,2011.0,Earth-10005,,
Arnim Zola,/wiki/Arnim_Zola_(Earth-8096),Arnim Zola,"Criminal, scientist",Male,,,6,2010.0,Earth-8096,,
Arnim Zola,/wiki/Arnim_Zola_(Earth-199999),Arnim Zola,"Criminal, scientist, Nazi biochemist",Male,,,11,2011.0,Earth-199999,,
Arthur Maddicks,/wiki/Arthur_Maddicks_(Earth-10005),Arthur Maddicks,Student,Male,,,3,2003.0,Earth-10005,,1.0
Arthur Parks,/wiki/Arthur_Parks_(Earth-199999),Arthur Parks,Criminal,Male,,,1,2013.0,Earth-199999,,
Arthur Parks,/wiki/Arthur_Parks_(Earth-8096),Arthur Parks,,Male,,,3,2010.0,Earth-8096,,
Arthur Vistain,/wiki/Arthur_Vistain_(Earth-199999),Arthur Vistain,,Male,,,1,2015.0,Earth-199999,,
Asad,/wiki/Asad_(Earth-26320),Asad,Soldier,Male,,,2,,Earth-26320,,
Ash,/wiki/Ash_(Earth-10005),,,Male,,,1,2006.0,Earth-10005,,
Ashley Crawford,/wiki/Ashley_Crawford_(Earth-8096),Ashley Crawford,,Female,,,1,2009.0,Earth-8096,,
Ashley Kafka,/wiki/Ashley_Kafka_(Earth-120703),Ashley Kafka,Director of  Ravencroft Institute,Male,,,1,2014.0,Earth-120703,,1.0
Asmodeus,/wiki/Asmodeus_(Earth-96173),Asmodeus,Minion,,,,1,1978.0,Earth-96173,,1.0
Audrey Nathan,/wiki/Audrey_Nathan_(Earth-199999),Audrey Nathan,Cellist,Female,,,2,2014.0,Earth-199999,,
Aunt Cass,/wiki/Aunt_Cass_(Earth-14123),Cass (surname unknown),Owner of a popular San Fransokyo bakery and coffee shop,Female,,,1,2014.0,Earth-14123,,1.0
Ava Orlova,/wiki/Ava_Orlova_(Earth-199999),Ava Anatalya Orlova,,Female,,,4,2015.0,Earth-199999,,
Ayo,/wiki/Ayo_(Earth-199999),Ayo [1],Dora Milaje,Female,,,1,2016.0,Earth-199999,,1.0
Azazel,/wiki/Azazel_(Earth-10005),,Terrorist,Male,,,3,2011.0,Earth-10005,,2.0
Balder Odinson,/wiki/Balder_Odinson_(Earth-8096),Balder Odinson,Adventurer,Male,,,8,2009.0,Earth-8096,Asgard,1.0
Balzaroth,/wiki/Balzaroth_(Earth-96173),Balzaroth,Monster,Male,,,1,1978.0,Earth-96173,,1.0
Bambina Arbogast,/wiki/Bambina_Arbogast_(Earth-199999),Bambina Arbogast,Receptionist,Female,,,3,2010.0,Earth-199999,,2.0
Barack Obama II,/wiki/Barack_Obama_II_(Earth-199999),Barack Hussein Obama II,Politician,Male,,,1,2016.0,Earth-199999,,
Barbara Morse,/wiki/Barbara_Morse_(Earth-8096),Barbara Morse,SHIELD Agent,Female,1.7526,58.96696,5,2010.0,Earth-8096,,
Barbara Morse,/wiki/Barbara_Morse_(Earth-199999),Barbara Morse,S.H.I.E.L.D. agent,Female,1.778,,31,2014.0,Earth-199999,,
Barbara Shlottman,/wiki/Barbara_Shlottman_(Earth-199999),Barbara Shlottman,,Female,,,1,2015.0,Earth-199999,,
Basil Sandhurst,/wiki/Basil_Sandhurst_(Earth-199999),Basil Sandhurst,Criminal,Male,,,1,2008.0,Earth-199999,,
Baymax,/wiki/Baymax_(Earth-14123),Baymax,Vigilante,Male,1.8796,,3,2014.0,Earth-14123,San Fransokyo,1.0
Ben Urich,/wiki/Ben_Urich_(Earth-701306),Ben Urich,Reporter,Male,,,2,2003.0,Earth-701306,,1.0
Bendis,/wiki/Bendis_(Earth-8096),Bendis (first name unknown),Cop,Male,,,1,2012.0,Earth-8096,,
Benjamin Donovan,/wiki/Benjamin_Donovan_(Earth-199999),Benjamin Donovan,Lawyer,Male,,,4,2016.0,Earth-199999,,
Benjamin Donovan,/wiki/Benjamin_Donovan_(Earth-8096),Benjamin Donovan,,Male,,,1,2012.0,Earth-8096,,
Benjamin Grimm,/wiki/Benjamin_Grimm_(Earth-121698),Benjamin Grimm,"Adventurer, Pilot (formerly)",Male,1.7526,453.592,6,2005.0,Earth-121698,,1.0
Benjamin Grimm,/wiki/Benjamin_Grimm_(Earth-58732),Benjamin Grimm,Adventurer,Male,,,1,2005.0,Earth-58732,,
Benjamin Grimm,/wiki/Benjamin_Grimm_(Earth-8096),Benjamin Grimm,"Superhero, Pilot",Male,,,8,2011.0,Earth-8096,,
Benjamin Grimm,/wiki/Benjamin_Grimm_(Earth-TRN554),"Benjamin ""Ben"" Grimm","Adventurer; former soldier, student",Male,,,1,2015.0,Earth-TRN554,,1.0
Benjamin Parker,/wiki/Benjamin_Parker_(Earth-96283),"Benjamin ""Ben"" Parker",Former chief electrician,Male,,,6,2002.0,Earth-96283,,3.0
Benjamin Parker,/wiki/Benjamin_Parker_(Earth-120703),Benjamin Parker,,Male,,,4,2012.0,Earth-120703,,2.0
Benjamin Pollack,/wiki/Benjamin_Pollack_(Earth-199999),Benjamin Pollack,Research scientist; former bank robber,Male,,,1,2012.0,Earth-199999,,
Benjamin Urich,/wiki/Benjamin_Urich_(Earth-199999),Benjamin Urich,Reporter,Male,,,9,2015.0,Earth-199999,,
Bentley Wittman,/wiki/Bentley_Wittman_(Earth-8096),Bentley Wittman,,Male,,,1,2012.0,Earth-8096,,
Bereet,/wiki/Bereet_(Earth-199999),Bereet,,Female,,,2,2014.0,Earth-199999,,1.0
Bernard Houseman,/wiki/Bernard_Houseman_(Earth-96283),Bernard Houseman,Butler,Male,,,3,2002.0,Earth-96283,,3.0
Bessie,/wiki/Bessie_(Earth-199999),Bessie,,Female,,,1,2014.0,Earth-199999,,
Beta Ray Bill,/wiki/Beta_Ray_Bill_(Earth-10022),Beta Ray Bill,,Male,,,1,2010.0,Earth-10022,,1.0
Beta Ray Bill,/wiki/Beta_Ray_Bill_(Earth-8096),Beta Ray Bill,"Guardian of Skuttlebutt, honorary warrior of Asgard",Male,,,1,2012.0,Earth-8096,,
Beth,/wiki/Beth_(Earth-199999),Beth  (no last name given),Waitress,Female,,,1,2012.0,Earth-199999,,
Betty Audrey,/wiki/Betty_Audrey_(Earth-199999),Betty Audrey,,Female,,,3,2016.0,Earth-199999,,
Bi-Beast,/wiki/Bi-Beast_(Earth-199999),,Warrior,Male,,,1,2008.0,Earth-199999,,
Bi-Beast,/wiki/Bi-Beast_(Earth-8096),,,Male,,,1,2010.0,Earth-8096,,
Billy James,/wiki/Billy_James_(Earth-58460),Billy James,Oil drill worker,Male,,,1,2005.0,Earth-58460,,1.0
Billy Koenig,/wiki/Billy_Koenig_(Earth-199999),Billy Koenig,S.H.I.E.L.D. agent,Male,,,8,2014.0,Earth-199999,,
Billy Russoti,/wiki/Billy_Russoti_(Earth-TRN011),Billy Russoti,Crime Lord,Male,,,1,2008.0,Earth-TRN011,,1.0
Black Sky,/wiki/Black_Sky_(Earth-199999),,,Male,,,1,2015.0,Earth-199999,,
Blackagar Boltagon,/wiki/Blackagar_Boltagon_(Earth-10022),Blackagar Boltagon,,Male,,,1,2010.0,Earth-10022,,1.0
Blaine Colt,/wiki/Blaine_Colt_(Earth-199999),Blaine Colt,,Male,,,1,2016.0,Earth-199999,,
Blake Tower,/wiki/Blake_Tower_(Earth-199999),Blake Tower,District Attorney,Male,,,8,2016.0,Earth-199999,,
Blanche Sitznski,/wiki/Blanche_Sitznski_(Earth-8096),Blanche Sitznski,Criminal,Female,,,4,2011.0,Earth-8096,,
Blastaar,/wiki/Blastaar_(Earth-121698),Blastaar,,Male,,,1,2005.0,Earth-121698,,
Bob,/wiki/Bob_(Earth-TRN414),Bob (surname unknown),Henchman; former soldier,Male,,,1,2016.0,Earth-TRN414,,1.0
Bobby Fish,/wiki/Bobby_Fish_(Earth-199999),Bobby Fish,,Male,,,8,2016.0,Earth-199999,,
Bolivar Trask,/wiki/Bolivar_Trask_(Earth-8096),Bolivar Trask,Scientist,Male,,,5,2009.0,Earth-8096,,
Bolivar Trask,/wiki/Bolivar_Trask_(Earth-TRN414),Bolivar Trask,Owner of Trask Industries,Male,,,1,2014.0,Earth-TRN414,,1.0
Bone Saw McGraw,/wiki/Bone_Saw_McGraw_(Earth-96283),McGraw (full name unrevealed),Professional wrestler,Male,1.8796,107.501304,4,2002.0,Earth-96283,,1.0
Boris Bullski,/wiki/Boris_Bullski_(Earth-199999),Boris Bullski,A.I.M. operative,Male,,,1,2008.0,Earth-199999,,
Boris Bullski,/wiki/Boris_Bullski_(Earth-8096),Boris Bullski,,Male,,,1,2007.0,Earth-8096,,
Bot Fight Ringleader,/wiki/Bot_Fight_Ringleader_(Earth-14123),,Bot fighting ringleader,Female,,,1,2014.0,Earth-14123,,
Brendon Doyle,/wiki/Brendon_Doyle_(Earth-199999),Brendon Doyle,Mercenary,Male,,,1,2010.0,Earth-199999,,
Brett Mahoney,/wiki/Brett_Mahoney_(Earth-199999),Brett Mahoney,,Male,,,14,2015.0,Earth-199999,,
Brian Calusky,/wiki/Brian_Calusky_(Earth-8096),Brian Calusky,Criminal,Male,,,3,,Earth-8096,,
Brian Hayward,/wiki/Brian_Hayward_(Earth-199999),Brian Hayward,Former soldier,Male,,,1,2013.0,Earth-199999,,
Bridget K.,/wiki/Bridget_K._(Earth-120703),Bridget K.,poet,Female,,,1,2014.0,Earth-120703,,
Brock Rumlow,/wiki/Brock_Rumlow_(Earth-199999),Brock Rumlow,Mercenary; former secret agent; former STRIKE Agent,Male,1.8288,,9,2014.0,Earth-199999,United States of America,
Broker,/wiki/Broker_(Earth-199999),,Pawnbroker,Male,,,2,2014.0,Earth-199999,Xandar,1.0
Bruce Banner,/wiki/Bruce_Banner_(Earth-10022),Robert Bruce Banner,"Adventurer, scientist",Male,,,1,,Earth-10022,Dayton,1.0
Bruce Banner,/wiki/Bruce_Banner_(Earth-199999),Bruce Banner,"Adventurer, nuclear physicist, biochemist, research scientist; former professor, operator, handyman, casual worker, physician, f",Male,1.7526,71.667536,28,2008.0,Earth-199999,United States of America,2.0
Bruce Banner,/wiki/Bruce_Banner_(Earth-8096),Robert Bruce Banner,"Nuclear physicist, Genius",Male,2.1336,362.8736,42,2009.0,Earth-8096,,1.0
Brunnhilde,/wiki/Brunnhilde_(Earth-8096),Brunnhilde,Warrior,Female,,,4,2009.0,Earth-8096,,1.0
Bruno Horgan,/wiki/Bruno_Horgan_(Earth-199999),Bruno Horgan,Supervillain,Male,,,2,2008.0,Earth-199999,,
Bullseye,/wiki/Bullseye_(Earth-701306),,"Assassin, mercenary",Male,,,4,2003.0,Earth-701306,Ireland,
Caiera,/wiki/Caiera_(Earth-10022),Caiera the Oldstrong,"Queen of Sakaar, former Shadow bodyguard",Female,,,1,2010.0,Earth-10022,,1.0
Cain Marko,/wiki/Cain_Marko_(Earth-10005),Cain Marko,"Terrorist, former prisoner",Male,,,2,2006.0,Earth-10005,,
Cain Marko,/wiki/Cain_Marko_(Earth-8096),Cain Marko,Loyal servant,Male,,,3,2009.0,Earth-8096,,
Caliban,/wiki/Caliban_(Earth-TRN414),,,Male,,,2,2016.0,Earth-TRN414,,1.0
Callie Hannigan,/wiki/Callie_Hannigan_(Earth-199999),Callie Hannigan,Student,Female,,,1,2014.0,Earth-199999,,
Callisto,/wiki/Callisto_(Earth-10005),,Leader of the  Omega Gang,Female,1.6256,,1,2006.0,Earth-10005,,
Calvin Chadwick,/wiki/Calvin_Chadwick_(Earth-199999),Calvin Chadwick,Politician,Male,,,7,2016.0,Earth-199999,,
Calvin Rankin,/wiki/Calvin_Rankin_(Earth-10005),Calvin Rankin,,Male,,,1,,Earth-10005,,1.0
Calvin Zabo,/wiki/Calvin_Zabo_(Earth-199999),Calvin Zabo ( legally changed  from Calvin L. Johnson),"Veterinarian, Formerly physician",Male,,,15,2014.0,Earth-199999,,
Calypso Ezili,/wiki/Calypso_Ezili_(Earth-96283),Calypso Ezili,Voodoo Priestess,Female,,,2,2004.0,Earth-96283,,
Cameron Klein,/wiki/Cameron_Klein_(Earth-199999),Cameron Klein,S.H.I.E.L.D. technician,Male,,,3,2014.0,Earth-199999,,
Camilla Reyes,/wiki/Camilla_Reyes_(Earth-199999),Camilla Reyes,Comandante of the  Policía Militar de Perú,Female,,,1,2013.0,Earth-199999,,
Canelo,/wiki/Canelo_(Earth-199999),Canelo  (full name unknown),Auto mechanic,Male,,,1,2016.0,Earth-199999,,
Captain Barbera,/wiki/Captain_Barbera_(Earth-730911),Barbera (first name unknown),Police Captain,Male,,,6,1977.0,Earth-730911,,1.0
Carina,/wiki/Carina_(Earth-199999),Carina,servant of  The Collector,Female,,,4,2013.0,Earth-199999,,1.0
